secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),100,34,1038,101,1042,101,1033,98,1054,101,1055,101,1027,1055,1024
Uniform (-1 0),100,46,1402,101,1404,101,1403,99,1420,101,1419,101,1392,1420,1024
Uniform (-1 0),100,57,1735,100,1735,100,1741,99,1755,101,1754,101,1726,1755,2048
Uniform (-1 0),100,67,2039,100,2036,100,2048,99,2060,101,2059,101,2029,2060,2048
