secret dist.,lambda,lwe dim.,logq usvp,est usvp,logq bdd,est bdd,output
Uniform (-1 1),100,1024,34,102,34,100,34
Uniform (-1 1),128,1024,27,131,27,129,27
Uniform (-1 1),192,1024,19,204,18,189,19
Uniform (-1 1),256,1024,14,265,14,261,14
Uniform (-1 1),100,32768,1113,101,1096,100,1113
Uniform (-1 1),128,32768,881,129,872,129,881
Uniform (-1 1),192,32768,611,193,608,192,611
Uniform (-1 1),256,32768,475,257,474,256,475
