secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),110,31,1037,111,1039,112,1029,108,1053,111,1055,112,1024,1055,1024
Uniform (-1 0),110,42,1401,111,1403,111,1399,109,1419,111,1418,111,1390,1419,1024
Uniform (-1 0),110,52,1731,111,1734,111,1734,109,1751,111,1750,111,1722,1751,2048
Uniform (-1 0),110,61,2029,111,2030,111,2035,109,2050,111,2050,111,2020,2050,2048
