secret dist.,lambda,lwe dim.,logq usvp,est usvp,logq bdd,est bdd,output
Uniform (-1 0),100,1024,33,103,33,101,33
Uniform (-1 0),128,1024,26,132,26,130,26
Uniform (-1 0),192,1024,18,194,18,191,18
Uniform (-1 0),256,1024,13,266,13,264,13
Uniform (-1 0),100,2048,67,101,67,100,67
Uniform (-1 0),128,2048,53,130,53,129,53
Uniform (-1 0),192,2048,37,193,37,191,37
Uniform (-1 0),256,2048,28,261,28,258,28
