secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),128,27,1046,130,1042,130,1032,126,1062,130,1063,130,1029,1063,1024
Uniform (-1 0),128,37,1425,129,1424,129,1416,126,1442,129,1441,129,1411,1442,1024
Uniform (-1 0),128,45,1728,129,1729,129,1723,127,1746,129,1746,129,1715,1746,2048
Uniform (-1 0),128,54,2069,129,2072,129,2068,127,2088,129,2090,129,2057,2090,2048
