secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),80,42,1036,81,1037,81,1037,79,1047,81,1050,81,1024,1050,1024
Uniform (-1 0),80,58,1432,81,1425,80,1439,79,1444,80,1445,81,1418,1445,1024
Uniform (-1 0),80,71,1754,81,1739,80,1764,79,1767,81,1766,80,1736,1767,2048
Uniform (-1 0),80,84,2075,81,2052,80,2088,79,2090,81,2088,81,2054,2090,2048
