secret dist.,lwe dim.,log q,usvp,usvp_s,usvp num,est usvp,bdd,bdd_s,bdd num,est bdd,output
Uniform (-1 1),131072,3576,128,128,126,128,129,127,126,127,128
Uniform (-1 1),131072,2469,193,192,190,192,193,190,190,192,193
Uniform (-1 1),131072,1918,259,255,254,256,256,254,254,256,256
