secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),120,28,1019,122,1018,122,1007,118,1036,122,1037,122,1004,1037,1024
Uniform (-1 0),120,39,1412,121,1414,121,1407,118,1430,121,1430,121,1400,1430,1024
Uniform (-1 0),120,48,1734,121,1737,121,1733,119,1753,121,1753,121,1724,1753,2048
Uniform (-1 0),120,57,2056,120,2059,121,2058,119,2076,121,2078,121,2046,2078,2048
