secret dist.,lwe dim.,log q,usvp num,est usvp,bdd num,est bdd,output
Uniform (-1 1),1024,14,263,265,265,261,263
Uniform (-1 1),1024,19,191,192,192,189,191
Uniform (-1 1),1024,27,130,131,130,129,130
Uniform (-1 1),1024,34,100,102,101,100,100
Uniform (-1 1),1024,43,78,79,78,78,78
