secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 0),140,24,1016,143,1007,142,997,137,1032,143,1032,143,995,1032,1024
Uniform (-1 0),140,34,1426,142,1422,141,1412,138,1442,142,1441,142,1408,1442,1024
Uniform (-1 0),140,41,1713,141,1712,141,1703,138,1730,141,1730,141,1697,1730,2048
Uniform (-1 0),140,49,2042,141,2043,141,2034,139,2059,141,2061,141,2027,2061,2048
